Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Лиговский,"Айнзидлер Пилснер , 0,500 бут.",Пилснеры (Ф),Германия,1,560.5,300.0,0.8683,260.5,C,B,C,CBC
Лиговский,"Араета 2021 грушевый 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Испания,1,940.5,484.0,0.9432,456.5,B,A,B,BAB
Лиговский,"Араета 2021 яблочный 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Испания,1,940.5,406.0,1.3165,534.5,B,A,B,BAB
Лиговский,Белхеван Scottish ale 0.44 ж/б,"Карамельное, янтарное пиво 2 Ф",Чехия,5,2254.0,1236.75,0.8287,1017.25,A,B,A,ABA
Лиговский,"Борнем Дубль, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,2,760.5,366.0,1.07785,394.5,B,A,B,BAB
Лиговский,"Брю Дивижн Ас Крим, 0,500 бут.",Темные эли (Ф),Россия,4,1677.0,0.0,0.0,1677.0,A,C,A,ACA
Лиговский,"Брю Дивижн Вайсглюк Унзере Хефевайцен, 0,500 бут.",Вайсс (Ф),Россия,2,855.0,406.0,1.1059,449.0,B,A,B,BAB
Лиговский,"Брю Дивижн Он Бейс,  0,500 бут.","Голден эли, АПА, Пэйл эли (Ф)",Россия,6,2439.5,1398.0,0.7377,1041.5,A,B,A,ABA
Лиговский,"Брюгге зот, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,4,2002.0,1076.0,0.8605750000000001,926.0,A,B,A,ABA
Лиговский,"Бульви 1883 полусладкий 0,5 л бут.",Сидры и пуаре ур 2 (Ф),Россия,1,420.0,215.0,0.9535,205.0,C,A,C,CAC
Лиговский,"Бульви 1883 полусухой 0,5 л бут.",Сидры и пуаре ур 2 (Ф),Россия,3,1218.0,645.0,0.88025,573.0,A,B,B,ABB
Лиговский,"Бульви Артизиан Классик, 0,750 бут.",Сидры и пуаре ур 2 (Ф),Россия,1,880.0,0.0,0.0,880.0,B,C,A,BCA
Лиговский,"Бульви Гранат 0,45 бут.",Сидры и пуаре ур 2 (Ф),Россия,4,1872.0,840.0,1.22855,1032.0,A,A,A,AAA
Лиговский,"Бульви Петит б/а 0,45 .",Сидры б/а (Ф),Россия,1,320.0,179.0,0.7877,141.0,C,B,C,CBC
Лиговский,"Бульви Розе, 0,450 бут",Сидры и пуаре ур 2 (Ф),Россия,5,2352.0,1050.0,1.23998,1302.0,A,A,A,AAA
Лиговский,"Бульви Рустик полусухой, бут. 0,45л",Сидры б/а (Ф),Россия,4,1659.0,796.0,1.0578,863.0,A,A,A,AAA
Лиговский,"Бульви Сидр Артизан Брют, 0,750 бут.",Сидры и пуаре ур 2 (Ф),Россия,1,750.0,0.0,0.0,750.0,B,C,A,BCA
Лиговский,"Бульви Шорли Гранат б/а 0,450",Сидры б/а (Ф),Россия,2,580.0,256.0,1.2656,324.0,C,A,C,CAC
Лиговский,"Вайнштефан Оригинал, светлое, 0,500 бут.",Хели (Ф),Германия ,10,5693.5,2753.9,0.95495,2939.6000000000004,A,A,A,AAA
Лиговский,"Вайнштефан Хефе Вайсбир, светлое, 0,500 бут.",Вайсс (Ф),Германия,5,2832.0,1377.0500000000002,1.0708333333333333,1454.9499999999998,A,A,A,AAA
Лиговский,"Вальдеранс сидр де Бретань Брют 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Франция,1,2375.0,763.0,2.1127,1612.0,A,A,A,AAA
Лиговский,"Вандер Гинсте, 0,250 бут.",Флемиш (Ф),Бельгия,4,1521.0,768.0,0.9635666666666666,753.0,A,A,A,AAA
Лиговский,"Верхаге Барбе Крик темное, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,5,3312.0,1655.0,0.99775,1657.0,A,A,A,AAA
Лиговский,"Вестмалле Траппист Дубль, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,1,470.0,231.0,1.0346,239.0,C,A,C,CAC
Лиговский,"Вичвуд Брювери Хобгоблин Руби, 0,500 ж\б","Карамельное, янтарное пиво 2 Ф",Англия,1,589.0,300.7,0.9588,288.3,C,A,C,CAC
Лиговский,"Глетчер Милк оф Амнезия  0.5, бан",Другие охмеленные (Ф),Россия,6,2320.5,1038.0,1.226125,1282.5,A,A,A,AAA
Лиговский,"Дальняя дача №1 сухой 0,500, бут",Сидры и пуаре ур 2 (Ф),Россия,16,7191.0,3504.0,1.0455,3687.0,A,A,A,AAA
