Бар,Пиво,Литры 2025,Литры 2026,Д Литры,Выручка 2025,Выручка 2026,Д Выручка,Наценка 2025,Наценка 2026,Маржа 2025,Маржа 2026,Д Маржа
Кременчугская,джоус мюних хеллес,78.7,0.0,-100.0%,107829,0,-100.0%,201%,-,71843,0,-100.0%
Кременчугская,коникс черри руби,11.3,29.1,+158.9%,21062,34626,+64.4%,208%,218%,13984,23435,+67.6%
Кременчугская,крик де лютин,13.7,0.0,-100.0%,19405,0,-100.0%,209%,-,13088,0,-100.0%
Кременчугская,леруа иперман,23.1,0.0,-100.0%,38663,0,-100.0%,194%,-,24906,0,-100.0%
Кременчугская,леруа капиттель блонд,11.5,0.0,-100.0%,27424,0,-100.0%,197%,-,18183,0,-100.0%
Кременчугская,леруа хоммельбир,12.7,0.0,-100.0%,17453,0,-100.0%,185%,-,11230,0,-100.0%
Кременчугская,литовел мораван,155.8,0.0,-100.0%,220897,0,-100.0%,217%,-,150440,0,-100.0%
Кременчугская,локал лагер (рыжее),15.4,0.0,-100.0%,14460,0,-100.0%,321%,-,10998,0,-100.0%
Кременчугская,монкс кафе,36.8,30.9,-15.9%,76686,48470,-36.8%,188%,155%,49463,29436,-40.5%
Кременчугская,островица ipa,8.6,13.9,+62.3%,13671,13520,-1.1%,192%,47%,8946,4476,-50.0%
Кременчугская,палм,9.1,0.0,-100.0%,17889,0,-100.0%,208%,-,12091,0,-100.0%
Кременчугская,радебергер пилснер,135.4,0.0,-100.0%,232172,0,-100.0%,267%,-,168099,0,-100.0%
Кременчугская,ригеле коммерциенрат,0.0,94.5,NEW,0,138506,NEW,-,199%,0,90634,NEW
Кременчугская,ригеле файнес урхелль,116.3,0.0,-100.0%,236417,0,-100.0%,206%,-,156026,0,-100.0%
Кременчугская,стародубице дванактка,8.4,0.0,-100.0%,22215,0,-100.0%,204%,-,14945,0,-100.0%
Кременчугская,стинбрюгге бланш,19.1,0.0,-100.0%,29810,0,-100.0%,193%,-,19517,0,-100.0%
Кременчугская,фестхаус вайцен,0.0,101.3,NEW,0,84201,NEW,-,353%,0,65590,NEW
Кременчугская,фестхаус доппельбок,0.0,14.2,NEW,0,16886,NEW,-,251%,0,11916,NEW
Кременчугская,фестхаус хеллес,0.0,808.2,NEW,0,654253,NEW,-,349%,0,504259,NEW
Кременчугская,эйбау хефевайссбир,34.7,0.0,-100.0%,59384,0,-100.0%,255%,-,42494,0,-100.0%
Кременчугская,*** ВСЕГО ***,859.6,1224.6,+42.5%,1398784,1140018,-18.5%,214%,270%,953711,832084,-12.8%
Варшавская,brewlok ipa,8.7,30.6,+252.7%,12378,29045,+134.6%,266%,253%,8922,20863,+133.8%
Варшавская,brewlok василиса,28.1,18.3,-34.9%,45595,17202,-62.3%,242%,514%,32293,14312,-55.7%
Варшавская,brewlok лихо одноглазое,0.0,14.1,NEW,0,14242,NEW,-,204%,0,9566,NEW
Варшавская,dada сидр #2 полусухой,0.0,5.9,NEW,0,6480,NEW,-,208%,0,4326,NEW
Варшавская,femme fatale rouge,0.0,7.2,NEW,0,7902,NEW,-,168%,0,4878,NEW
Варшавская,hophead cherry head,0.0,13.8,NEW,0,16422,NEW,-,232%,0,11281,NEW
Варшавская,konix dortmunder,0.0,26.6,NEW,0,21299,NEW,-,438%,0,17302,NEW
Варшавская,plan b parhelion,0.0,13.0,NEW,0,12131,NEW,-,-,0,12131,NEW
Варшавская,starlingtons moonlight,0.0,11.9,NEW,0,15614,NEW,-,242%,0,10973,NEW
Варшавская,true hops ipa,15.6,0.0,-100.0%,22103,0,-100.0%,185%,-,14240,0,-100.0%
Варшавская,weissmuller original helles,3.4,0.0,-100.0%,8920,0,-100.0%,221%,-,6101,0,-100.0%
Варшавская,айингер октобер фест-марцен,0.0,22.4,NEW,0,32463,NEW,-,162%,0,19919,NEW
Варшавская,астролагер премиум пилс,68.8,0.0,-100.0%,82837,0,-100.0%,186%,-,53373,0,-100.0%
Варшавская,бульви квинси,16.3,0.0,-100.0%,26804,0,-100.0%,234%,-,18671,0,-100.0%
Варшавская,бульви семи драй,0.0,8.1,NEW,0,7742,NEW,-,220%,0,5312,NEW
Варшавская,бюльви рустик полусухой,0.0,16.2,NEW,0,15535,NEW,-,237%,0,10837,NEW
Варшавская,василеостровское пшеничное,100.4,0.0,-100.0%,97672,0,-100.0%,232%,-,67674,0,-100.0%
Варшавская,васька бланш де лютин,19.8,0.0,-100.0%,26781,0,-100.0%,234%,-,18683,0,-100.0%
Варшавская,джоус грезы,4.2,0.0,-100.0%,8352,0,-100.0%,291%,-,5931,0,-100.0%
